Chemin_image,Taille_image,Chemin_masque,Taille_masque
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1562.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1562.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1563.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1563.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1564.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1564.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1565.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1565.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1566.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1566.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1567.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1567.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1568.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1568.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1569.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1569.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1570.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1570.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1571.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1571.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1572.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1572.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1573.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1573.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1575.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1575.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1576.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1576.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1577.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1577.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1578.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1578.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1579.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1579.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1580.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1580.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1581.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1581.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1582.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1582.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1583.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1583.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1584.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1584.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1585.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1585.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1586.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1586.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1588.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1588.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1589.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1589.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1590.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1590.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1591.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1591.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1592.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1592.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1593.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1593.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1594.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1594.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1595.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1595.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1596.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1596.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1597.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1597.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1598.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1598.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1599.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1599.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1561.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1561.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1574.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1574.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1587.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1587.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1600.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1600.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1613.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1613.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1626.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1626.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1639.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1639.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1652.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1652.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1665.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1665.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1678.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1678.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_119_v_(video_3584.mp4)_s_0_f_5529.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_119_v_(video_3584.mp4)_s_0_f_5529.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1601.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1601.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1602.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1602.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1603.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1603.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1604.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1604.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1605.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1605.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1606.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1606.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1607.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1607.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1608.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1608.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1609.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1609.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1610.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1610.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1611.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1611.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1612.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1612.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1614.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1614.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1615.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1615.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1616.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1616.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1617.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1617.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1618.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1618.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1619.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1619.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1620.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1620.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1621.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1621.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1622.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1622.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1623.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1623.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1624.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1624.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1625.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1625.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1627.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1627.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1628.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1628.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1629.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1629.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1630.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1630.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1631.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1631.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1632.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1632.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1633.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1633.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1634.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1634.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1635.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1635.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1636.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1636.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1637_gt.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1637_gt.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1638.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1638.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1640.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1640.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1641.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1641.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1642.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1642.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1643.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1643.png,"(640, 360)"
/media/ludovic/Cache/ENID/ENID_v1.0_tracked/frames/c_102_v_(video_3134.mp4)_s_0_f_1644.jpg,"(640, 360)",/media/ludovic/Cache/ENID/ENID_v1.0_tracked/annots/c_102_v_(video_3134.mp4)_s_0_f_1644.png,"(640, 360)"
